TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
ENTRELINHAS,FICÇÃO,BRASIL,1351.0,BÓSNIA-HERZEGÓVINA,1.0,,,ENTRELINHAS,1351,Alto,ENTRELINHAS,,ENTRELINHAS,2024-08-22,8,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
PRINCESA ADORMECIDA,FICÇÃO,BRASIL,18387.0,COSTA RICA,1.0,,,PRINCESA ADORMECIDA,18387,Alto,PRINCESA ADORMECIDA,,PRINCESA ADORMECIDA,2024-08-15,8,VITRINE FILMES LTDA,VITRINE
SAIDEIRA,FICÇÃO,BRASIL,8048.0,ESLOVÁQUIA,2.0,,,SAIDEIRA,8048,Alto,SAIDEIRA,,SAIDEIRA,2024-08-08,8,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
TÔ DE GRAÇA - O FILME,FICÇÃO,BRASIL,188653.0,SUÍÇA,3.0,,,TÔ DE GRAÇA - O FILME,188653,Alto,TÔ DE GRAÇA - O FILME,,TÔ DE GRAÇA - O FILME,2024-06-27,6,SM DISTRIBUIDORA DE FILMES LTDA,SM
BANDIDA,FICÇÃO,BRASIL,25693.0,SÉRVIA,3.0,,,BANDIDA,25693,Alto,BANDIDA,,BANDIDA,2024-06-20,6,SM DISTRIBUIDORA DE FILMES LTDA,SM
13 SENTIMENTOS,FICÇÃO,BRASIL,6829.0,ÁUSTRIA,12.0,,,13 SENTIMENTOS,6829,Alto,13 SENTIMENTOS,,13 SENTIMENTOS,2024-06-13,6,VITRINE FILMES LTDA,VITRINE
AVASSALADORAS 2.0,FICÇÃO,BRASIL,11077.0,,,,,AVASSALADORAS 2.0,11077,Alto,AVASSALADORAS 2.0,,AVASSALADORAS 2.0,2024-06-13,6,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
"MALLANDRO, O ERRADO QUE DEU CERTO",FICÇÃO,BRASIL,15883.0,,,,,"MALLANDRO, O ERRADO QUE DEU CERTO",15883,Alto,"MALLANDRO, O ERRADO QUE DEU CERTO",,"MALLANDRO, O ERRADO QUE DEU CERTO",2024-06-13,6,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
GRANDE SERTÃO,FICÇÃO,BRASIL,40224.0,,,,,GRANDE SERTÃO,40224,Alto,GRANDE SERTÃO,,GRANDE SERTÃO,2024-06-06,6,SM DISTRIBUIDORA DE FILMES LTDA,SM
A FESTA DE LÉO,FICÇÃO,BRASIL,1351.0,,,,,A FESTA DE LÉO,1351,Alto,A FESTA DE LÉO,,A FESTA DE LÉO,2024-05-30,5,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRETZ
A FILHA DO PALHAÇO,FICÇÃO,BRASIL,4617.0,,,,,A FILHA DO PALHAÇO,4617,Alto,A FILHA DO PALHAÇO,,A FILHA DO PALHAÇO,2024-05-30,5,EMBAUBA FILMES LTDA,EMBAUBA
MEU SANGUE FERVE POR VOCÊ,FICÇÃO,BRASIL,22478.0,,,,,MEU SANGUE FERVE POR VOCÊ,22478,Alto,MEU SANGUE FERVE POR VOCÊ,,MEU SANGUE FERVE POR VOCÊ,2024-05-30,5,VITRINE FILMES LTDA,VITRINE
"DE REPENTE, MISS!",FICÇÃO,BRASIL,15580.0,,,,,"DE REPENTE, MISS!",15580,Alto,"DE REPENTE, MISS!",,"DE REPENTE, MISS!",2024-05-23,5,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
MORANDO COM O CRUSH,FICÇÃO,BRASIL,19434.0,,,,,MORANDO COM O CRUSH,19434,Alto,MORANDO COM O CRUSH,,MORANDO COM O CRUSH,2024-05-23,5,SM DISTRIBUIDORA DE FILMES LTDA,SM
"HORA DA ESTRELA, A",FICÇÃO,BRASIL,18969.0,,,,,"HORA DA ESTRELA, A",18969,Alto,"HORA DA ESTRELA, A",,"HORA DA ESTRELA, A",2024-05-16,5,VITRINE FILMES LTDA,VITRINE
VERMELHO MONET,FICÇÃO,BRASIL,3370.0,,,,,VERMELHO MONET,3370,Alto,VERMELHO MONET,,VERMELHO MONET,2024-05-09,5,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
FÉRIAS TROCADAS,FICÇÃO,BRASIL,122730.0,,,,,FÉRIAS TROCADAS,122730,Alto,FÉRIAS TROCADAS,,FÉRIAS TROCADAS,2024-05-02,5,SM DISTRIBUIDORA DE FILMES LTDA,SM
TRANSE,FICÇÃO,BRASIL,1383.0,,,,,TRANSE,1383,Alto,TRANSE,,TRANSE,2024-05-02,5,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,LUDWIG
AUMENTA QUE É ROCK'N'ROLL,FICÇÃO,BRASIL,27017.0,,,,,AUMENTA QUE É ROCK'N'ROLL,27017,Alto,AUMENTA QUE É ROCK'N'ROLL,,AUMENTA QUE É ROCK'N'ROLL,2024-04-25,4,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
JORGE DA CAPADÓCIA,FICÇÃO,BRASIL,39862.0,,,,,JORGE DA CAPADÓCIA,39862,Alto,JORGE DA CAPADÓCIA,,JORGE DA CAPADÓCIA,2024-04-18,4,SM DISTRIBUIDORA DE FILMES LTDA,SM
VIDENTE POR ACIDENTE,FICÇÃO,BRASIL,14232.0,,,,,VIDENTE POR ACIDENTE,14232,Alto,VIDENTE POR ACIDENTE,,VIDENTE POR ACIDENTE,2024-04-18,4,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
